No,Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
108,1961,9,1,14,28,96,36,229,13,374,194,19,19,2,7,,,,,,,,,,,,
108,1961,9,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,3,9,28,231,103,42,,,,,,,,,,,,,,,,,,,
108,1961,9,4,100,1,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,5,11,1,2,,,,,,,,,,,,,,,,,,,,,
108,1961,9,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,8,28,197,83,31,48,,,,,,,,,,,,,,,,,,,
108,1961,9,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,13,2,54,56,32,130,12,2,4,37,116,42,17,4,3,3,1,3,7,,,,,,
108,1961,9,14,2,2,1,2,1,25,3,3,13,2,4,12,1,,,,,,,,,,,
108,1961,9,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,21,1,1,1,,,,,,,,,,,,,,,,,,,,,
108,1961,9,22,64,12,6,6,6,18,18,,,,,,,,,,,,,,,,,
108,1961,9,23,42,25,15,17,19,,,,,,,,,,,,,,,,,,,
108,1961,9,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,25,10,13,23,3,,,,,,,,,,,,,,,,,,,,
108,1961,9,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,9,29,10,33,4,10,29,10,7,,,,,,,,,,,,,,,,,
108,1961,9,30,4,2,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,4,5,2,1,8,23,9,31,7,,,,,,,,,,,,,,,,
108,1961,10,5,5,13,37,9,105,59,6,3,7,7,3,,,,,,,,,,,,,
108,1961,10,6,3,9,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,16,5,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,18,7,1,14,13,2,4,13,8,4,2,,,,,,,,,,,,,,
108,1961,10,19,2,9,3,10,8,8,13,2,3,3,,,,,,,,,,,,,,
108,1961,10,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,10,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,11,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,12,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,1,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1962,2,8,,,,,,,,,,,,,,,,,,,,,,,,
